TotalReturn,SharpeAnn,MaxDD,Trades,Pair,Rank
-0.9830308016551401,-5.697573192356114,1.0094440590491305,3781.5,DATAUSDT/SCUSDT,1
-0.9552225432894952,-6.134649473344309,0.9552225432894952,3541.0,SFPUSDT/OGNUSDT,1
-0.9728857007203048,-8.56627374979414,0.9863947222127157,3661.5,SFPUSDT/PONDUSDT,1
-0.8222883752819269,-2.8462033330062666,0.9681679416468919,2007.5,OGNUSDT/BANDUSDT,2
-0.9699106117001705,-3.9003948087735147,0.9791788055449635,3381.5,CTSIUSDT/OGNUSDT,2
-0.9491556697580136,-4.018672468131852,0.9702876958738502,3379.5,UMAUSDT/OGNUSDT,2
-0.9880348996280665,-4.629570116208271,0.9897941334456379,3665.0,MLNUSDT/PONDUSDT,2
-0.9935609364166313,-5.252549228350319,0.9935871374453156,3598.5,MLNUSDT/OGNUSDT,2
-0.9694735370583036,-5.370286537360548,1.208259401966878,3370.5,PONDUSDT/OGNUSDT,2
-0.9837933590414599,-5.703837750641532,0.9839492778416776,3504.5,UMAUSDT/CTSIUSDT,2
