Pair,Asset1,Asset2,Rank,P_Value,Beta,Jumps
ETCUSDT/GRTUSDT,ETCUSDT,GRTUSDT,1,1.6e-05,0.837041,45
TRXUSDT/COMPUSDT,TRXUSDT,COMPUSDT,1,2.6e-05,0.642065,64
TRXUSDT/CRVUSDT,TRXUSDT,CRVUSDT,1,0.000384,0.365767,64
BCHUSDT/GRTUSDT,BCHUSDT,GRTUSDT,1,0.000531,0.617945,34
BCHUSDT/NEARUSDT,BCHUSDT,NEARUSDT,1,0.000866,0.738255,51
AVAXUSDT/ETCUSDT,AVAXUSDT,ETCUSDT,1,0.001041,1.09678,20
ICPUSDT/ARBUSDT,ICPUSDT,ARBUSDT,1,0.001103,0.825189,59
BNBUSDT/CRVUSDT,BNBUSDT,CRVUSDT,1,0.001424,0.124679,23
BNBUSDT/COMPUSDT,BNBUSDT,COMPUSDT,1,0.002945,0.219901,23
ATOMUSDT/GRTUSDT,ATOMUSDT,GRTUSDT,1,0.003315,1.112189,59
BCHUSDT/ATOMUSDT,BCHUSDT,ATOMUSDT,1,0.003452,0.541016,30
UNIUSDT/COMPUSDT,UNIUSDT,COMPUSDT,1,0.003587,0.825366,83
BCHUSDT/OPUSDT,BCHUSDT,OPUSDT,1,0.004171,0.738791,30
BCHUSDT/ETCUSDT,BCHUSDT,ETCUSDT,1,0.004444,0.729742,29
ATOMUSDT/OPUSDT,ATOMUSDT,OPUSDT,1,0.004528,1.354864,3
BNBUSDT/LINKUSDT,BNBUSDT,LINKUSDT,1,0.00549,0.242578,49
BCHUSDT/ARBUSDT,BCHUSDT,ARBUSDT,1,0.00574,0.608289,39
TRXUSDT/LINKUSDT,TRXUSDT,LINKUSDT,1,0.006144,0.688794,63
BNBUSDT/UNIUSDT,BNBUSDT,UNIUSDT,1,0.007544,0.26034,23
AVAXUSDT/ARBUSDT,AVAXUSDT,ARBUSDT,1,0.008215,0.922977,0
AVAXUSDT/BCHUSDT,AVAXUSDT,BCHUSDT,1,0.008261,1.438627,31
BCHUSDT/GMXUSDT,BCHUSDT,GMXUSDT,1,0.009081,0.804609,9
ICPUSDT/SNXUSDT,ICPUSDT,SNXUSDT,1,0.012702,0.733081,18
BNBUSDT/TRXUSDT,BNBUSDT,TRXUSDT,1,0.012812,0.323497,9
SEIUSDT/INJUSDT,SEIUSDT,INJUSDT,1,0.013895,1.097793,15
TRXUSDT/UNIUSDT,TRXUSDT,UNIUSDT,1,0.015595,0.734098,61
ICPUSDT/OPUSDT,ICPUSDT,OPUSDT,1,0.015981,1.005241,56
ETCUSDT/ICPUSDT,ETCUSDT,ICPUSDT,1,0.019033,0.977993,24
BCHUSDT/ICPUSDT,BCHUSDT,ICPUSDT,1,0.020387,0.714745,33
OPUSDT/GRTUSDT,OPUSDT,GRTUSDT,1,0.021763,0.773479,64
ETCUSDT/OPUSDT,ETCUSDT,OPUSDT,1,0.022418,1.006538,14
ATOMUSDT/ICPUSDT,ATOMUSDT,ICPUSDT,1,0.02792,1.313628,30
DOTUSDT/ICPUSDT,DOTUSDT,ICPUSDT,1,0.028023,1.466384,15
XRPUSDT/TRXUSDT,XRPUSDT,TRXUSDT,1,0.030026,2.319607,29
AVAXUSDT/OPUSDT,AVAXUSDT,OPUSDT,1,0.030958,1.116738,0
ETCUSDT/ARBUSDT,ETCUSDT,ARBUSDT,1,0.031387,0.83123,55
APEUSDT/SNXUSDT,APEUSDT,SNXUSDT,1,0.032317,0.666814,49
BNBUSDT/LTCUSDT,BNBUSDT,LTCUSDT,1,0.034295,0.346561,117
