Open time,FIROUSDT,DEXEUSDT,ERNUSDT,HARDUSDT,STMXUSDT,DIAUSDT,PNTUSDT,UMAUSDT,SFPUSDT,MLNUSDT,DATAUSDT,PONDUSDT,ANKRUSDT,DENTUSDT,LINAUSDT,SUNUSDT,ARDRUSDT,DOCKUSDT,CTSIUSDT,KMDUSDT,OGNUSDT,SCUSDT,BELUSDT,CELOUSDT,IOTXUSDT,LTOUSDT,OXTUSDT,QTUMUSDT,ZENUSDT,BANDUSDT
2024-12-12 00:00:00,1.551,9.531,3.088,0.1793,0.007636,0.8619,,3.576,0.7021,23.23,0.05056,0.02089,0.04703,0.001586,0.006644,0.02546,0.10963,,0.2063,0.3465,0.1382,0.006944,0.7563,0.8764,0.04871,0.1935,0.1225,4.154,14.99,1.822
2024-12-12 01:00:00,1.542,9.301,3.063,0.1771,0.007547,0.8584,,3.571,0.7031,23.04,0.05025,0.02034,0.04718,0.001574,0.006646,0.02537,0.10701,,0.2054,0.3449,0.138,0.006839,0.7502,0.8726,0.04877,0.1916,0.1219,4.124,15.01,1.821
2024-12-12 02:00:00,1.547,9.439,3.07,0.1774,0.007582,0.8621,,3.603,0.7046,23.18,0.04967,0.02076,0.04731,0.001582,0.006727,0.02534,0.10711,,0.2071,0.3459,0.1382,0.006843,0.7544,0.8782,0.04922,0.1918,0.1223,4.131,15.18,1.841
2024-12-12 03:00:00,1.586,9.688,3.137,0.181,0.00781,0.8909,,3.701,0.7192,23.69,0.05072,0.02166,0.04887,0.001641,0.007007,0.02593,0.10988,,0.2127,0.3524,0.1423,0.006965,0.7735,0.903,0.05066,0.1967,0.1257,4.257,15.51,1.891
2024-12-12 04:00:00,1.577,9.636,3.157,0.1801,0.007833,0.8908,,3.735,0.7209,23.61,0.05112,0.02171,0.04897,0.001655,0.007004,0.02598,0.11076,,0.2141,0.3525,0.1431,0.007046,0.7791,0.9022,0.05083,0.1966,0.1262,4.246,15.72,1.937
2024-12-12 05:00:00,1.569,9.72,3.15,0.1794,0.007851,0.8879,,3.782,0.726,23.17,0.05109,0.0215,0.04918,0.00165,0.007139,0.02608,0.11059,,0.2139,0.3513,0.1437,0.006998,0.7831,0.9029,0.0503,0.1961,0.1259,4.287,15.91,1.943
2024-12-12 06:00:00,1.589,9.827,3.202,0.1825,0.007968,0.9023,,3.918,0.7255,23.36,0.05158,0.02171,0.04949,0.001672,0.007168,0.02646,0.11103,,0.216,0.3534,0.1461,0.007092,0.7923,0.9189,0.05059,0.1978,0.1266,4.351,16.02,1.976
2024-12-12 07:00:00,1.594,9.89,3.23,0.1835,0.00798,0.9071,,3.936,0.7298,23.37,0.0516,0.02162,0.05055,0.001702,0.007232,0.0264,0.11141,,0.218,0.359,0.1482,0.007101,0.7986,0.9202,0.05073,0.1989,0.127,4.329,15.99,2.016
2024-12-12 08:00:00,1.582,9.762,3.209,0.1834,0.007898,0.9029,,3.878,0.7242,23.18,0.05155,0.02149,0.04985,0.001692,0.007165,0.02629,0.11165,,0.2168,0.3596,0.1467,0.007132,0.7955,0.9125,0.05039,0.1973,0.1262,4.296,16.03,2.035
2024-12-12 09:00:00,1.596,9.805,3.219,0.1859,0.007923,0.9116,,3.962,0.7261,23.3,0.0521,0.02182,0.05099,0.001707,0.00722,0.02646,0.11405,,0.218,0.3637,0.1479,0.007255,0.7992,0.9152,0.05075,0.2012,0.127,4.344,16.25,2.091
2024-12-12 10:00:00,1.582,9.732,3.187,0.1829,0.00787,0.9061,,3.932,0.7223,23.39,0.05181,0.02156,0.04982,0.001675,0.007127,0.0271,0.11217,,0.2158,0.3624,0.1475,0.007104,0.7916,0.9118,0.0502,0.2011,0.1259,4.326,15.94,2.099
2024-12-12 11:00:00,1.568,9.664,3.212,0.1825,0.007762,0.897,,3.87,0.7162,22.98,0.05102,0.02143,0.04921,0.001649,0.00707,0.02665,0.1105,,0.2127,0.357,0.1452,0.007017,0.7836,0.8967,0.04946,0.1989,0.1242,4.245,15.76,2.093
