Pair,CointP,ADF_spread_p,BetaOLS,Jumps,Obs
OGNUSDT/BANDUSDT,9.583947539257405e-06,1.0764726478238566e-06,0.851006578458016,119,8761
CTSIUSDT/OGNUSDT,1.2511703697410033e-05,1.4255994966216254e-06,1.2154731914593881,117,8761
OGNUSDT/CELOUSDT,0.00017273213225471864,2.3400490521349494e-05,0.8448385883620454,93,8761
MLNUSDT/PONDUSDT,0.00021167555171584636,2.9054731237217214e-05,0.8199658964874885,74,8761
PONDUSDT/OGNUSDT,0.0003649929943523331,5.2270752209626116e-05,1.322247772632276,42,8761
UMAUSDT/CTSIUSDT,0.000499782790676206,7.37596655417738e-05,0.835670931143805,78,8761
DATAUSDT/OGNUSDT,0.0009452306017696399,0.00014783553747763612,1.6239785340874977,75,8761
UMAUSDT/OGNUSDT,0.0013598290476317025,0.0002205107814850648,1.0375439653867629,37,8761
SFPUSDT/OXTUSDT,0.001399383289533909,0.00022800042302343292,0.5488135729536476,71,8761
FIROUSDT/STMXUSDT,0.001455051240870635,0.00023590364899854006,1.001712492082816,16,1779
SFPUSDT/PONDUSDT,0.0015249863920861727,0.00025057461134636827,0.49122422362885687,8,8761
MLNUSDT/OGNUSDT,0.0017256188724089436,0.00028727192569360713,1.1093530813861467,68,8761
MLNUSDT/BANDUSDT,0.0017674803387118636,0.000295020613953455,0.9654529222492941,117,8761
SFPUSDT/ANKRUSDT,0.0018919947774134797,0.0003162777973208177,0.5106814597506898,35,8761
UMAUSDT/MLNUSDT,0.0022994626941918884,0.00039306435711921315,0.8486541999653978,85,8761
PONDUSDT/BANDUSDT,0.0026853560767191717,0.000466201632712016,1.142982068627433,113,8761
CTSIUSDT/QTUMUSDT,0.0029306385668467494,0.0005166026427301575,1.617689843694041,95,8761
FIROUSDT/LTOUSDT,0.003172850291873918,0.000551541714733349,0.7873468154812926,67,3003
DATAUSDT/ANKRUSDT,0.0037076839631821354,0.0006698402264033164,1.2453482787660006,28,8761
MLNUSDT/CELOUSDT,0.004244815265292825,0.0007817604602862629,0.9597522369884833,69,8761
SFPUSDT/DATAUSDT,0.004514111227141613,0.0008363296860762632,0.4000589852576541,6,8761
MLNUSDT/DATAUSDT,0.0050454689040875045,0.0009461401051503586,0.6571360471369221,88,8761
SFPUSDT/SCUSDT,0.005371085936421059,0.0010149619492579615,0.6210136547538064,18,8761
ANKRUSDT/SCUSDT,0.006999743535160952,0.001369017635804545,1.2085230126818856,24,8761
PONDUSDT/CELOUSDT,0.007305671657834393,0.0014350912096274663,1.1441564714224859,91,8761
UMAUSDT/PONDUSDT,0.007335656803203309,0.0014310131556905525,0.734007676512,34,8761
DEXEUSDT/BELUSDT,0.007737038018542643,0.0015298207382715716,0.7336920866542536,82,8761
MLNUSDT/OXTUSDT,0.00813949132086618,0.0016153281110716697,0.8687428824069884,48,8761
DATAUSDT/BANDUSDT,0.008609076187749792,0.0017282217959659642,1.408852983802128,107,8761
CTSIUSDT/BANDUSDT,0.00898214951602938,0.0018196290097691917,1.0331876744704405,66,8761
PONDUSDT/ANKRUSDT,0.00966625688377133,0.0019711943535176395,1.0026605339086136,69,8761
CELOUSDT/BANDUSDT,0.010533366415983849,0.0021808083657347166,0.9632010764855923,152,8761
OGNUSDT/SCUSDT,0.01115296912350581,0.0023252836000648945,0.8719175734590513,29,8761
SFPUSDT/CELOUSDT,0.011200199207676046,0.002326922575410417,0.5787535715506366,7,8761
MLNUSDT/ANKRUSDT,0.011266508904921944,0.002353505107668095,0.8348120583798729,69,8761
SFPUSDT/BANDUSDT,0.011672873450273867,0.002440838405184951,0.5725593229189682,87,8761
DATAUSDT/SCUSDT,0.011679912700601753,0.002453364438722243,1.5137961135822569,10,8761
SFPUSDT/OGNUSDT,0.011897700384265278,0.0025030659543087298,0.6518826355051666,4,8761
MLNUSDT/CTSIUSDT,0.012301552332318054,0.0026031064852348887,0.8802239230045101,99,8761
DATAUSDT/PONDUSDT,0.012395044108342274,0.0026245867089094194,1.1990338653570987,25,8761
ANKRUSDT/OXTUSDT,0.015237797171852857,0.00328502835482341,1.0323417720039192,128,8761
ANKRUSDT/BANDUSDT,0.01834011790449002,0.004118081422555438,1.1167082083634305,106,8761
ARDRUSDT/IOTXUSDT,0.019045738935521795,0.004303732155927294,0.34729335067236194,208,8761
QTUMUSDT/BANDUSDT,0.021755578585825955,0.005021544601837456,0.5756385823997673,81,8761
