Pair,Asset1,Asset2,Rank,P_Value,Beta,Jumps,RobustnessScore
ETCUSDT/GRTUSDT,ETCUSDT,GRTUSDT,1,1.6e-05,0.837041,45,100.0
TRXUSDT/COMPUSDT,TRXUSDT,COMPUSDT,1,2.6e-05,0.642065,64,87.5
ICPUSDT/ARBUSDT,ICPUSDT,ARBUSDT,1,0.001103,0.825189,59,87.5
BNBUSDT/COMPUSDT,BNBUSDT,COMPUSDT,1,0.002945,0.219901,23,87.5
BCHUSDT/ARBUSDT,BCHUSDT,ARBUSDT,1,0.00574,0.608289,39,87.5
BCHUSDT/ETCUSDT,BCHUSDT,ETCUSDT,1,0.004444,0.729742,29,75.0
TRXUSDT/CRVUSDT,TRXUSDT,CRVUSDT,1,0.000384,0.365767,64,71.88
AVAXUSDT/ETCUSDT,AVAXUSDT,ETCUSDT,1,0.001041,1.09678,20,71.88
BNBUSDT/CRVUSDT,BNBUSDT,CRVUSDT,1,0.001424,0.124679,23,71.88
ATOMUSDT/OPUSDT,ATOMUSDT,OPUSDT,1,0.004528,1.354864,3,71.88
BCHUSDT/APEUSDT,BCHUSDT,APEUSDT,2,0.096958,0.747404,46,78.12
ETCUSDT/NEARUSDT,ETCUSDT,NEARUSDT,2,0.054371,0.978964,37,75.0
